family,group,n,regime,best_rival,gap,half_width,best_rival_incl_hidden,gap_incl_hidden
RouterEval,all_weak,10,beta025_cartel,knn_router_online,-0.052800000000000014,0.023067987693988403,knn_router_online,-0.052800000000000014
RouterEval,all_weak,10,beta0,knn_router_online,-0.05140000000000011,0.02596944550813513,knn_router_online,-0.05140000000000011
RouterEval,all_weak,10,cartel,knn_router_online,-0.05140000000000011,0.02596944550813513,knn_router_online,-0.05140000000000011
RouterEval,all_weak,10,beta05_random,knn_router_online,-0.05140000000000011,0.02596944550813513,knn_router_online,-0.05140000000000011
LLMRouterBench,20 models,20,beta0,declared_argmax,-0.049000000000000044,0.02546291420870753,declared_argmax,-0.049000000000000044
bernoulli,specialist,1000,beta0,verify_on_claim,-0.04793700000000012,0.001245302760187637,sequential_halving_peer,-0.050159000000000065
RouterEval,strong_to_weak,1000,beta025_cartel,mlp_router,-0.0474,0.0470919313683353,mlp_router,-0.0474
RouterEval,strong_to_weak,1000,beta025_random,mlp_router,-0.046599999999999975,0.046038940311436356,mlp_router,-0.046599999999999975
RouterEval,all_weak,100,beta025_cartel,knn_router_online,-0.0464,0.015564061166675011,knn_router_online,-0.0464
RouterEval,all_strong,1000,beta025_random,linucb_honest,-0.045399999999999996,0.024123432591569564,linucb_honest,-0.045399999999999996
RouterEval,all_weak,100,cartel,knn_router_online,-0.04420000000000002,0.011764352935882225,knn_router_online,-0.04420000000000002
RouterBench replay,all shapes pooled,1000,beta0,declared_argmax,-0.042966999999999866,0.0011550364313413094,declared_argmax,-0.042966999999999866
RouterEval,strong_to_weak,1000,cartel,mlp_router,-0.041999999999999926,0.04740675057415343,mlp_router,-0.041999999999999926
bernoulli,specialist,10000,beta0,verify_on_claim,-0.04157199999999994,0.0012169169143397443,sequential_halving_peer,-0.049138000000000015
bernoulli,specialist,100000,beta0,verify_on_claim,-0.041538000000000075,0.0017709395927726652,sequential_halving_peer,-0.048628000000000005
bernoulli,specialist,10000000,beta0,verify_on_claim,-0.04056999999999977,0.0037172890155327725,sequential_halving_peer,-0.044789999999999774
RouterBench replay,all shapes pooled,10,beta0,cluster_head_router,-0.0399356666666667,0.010155967510349181,cluster_head_router,-0.0399356666666667
bernoulli,specialist,1000000,beta0,cnp_self_bid,-0.03887499999999999,0.0024593462363312057,sequential_halving_peer,-0.04526000000000008
LLMRouterBench,20 models,20,beta05_random,mlp_router,-0.03839999999999999,0.03207132675771305,mlp_router,-0.03839999999999999
RouterEval,all_weak,100,beta025_random,knn_router_online,-0.03839999999999999,0.018774717041809188,knn_router_online,-0.03839999999999999
RouterEval,strong_to_weak,1000,beta05_random,mlp_router,-0.03820000000000001,0.04687216658103186,mlp_router,-0.03820000000000001
