family,group,n,regime,rival,rival_name,gap,ci_lo,ci_hi,units,result
bernoulli,shapes pooled,1000,cartel,declared_argmax,declared argmax,0.06402200000000005,0.06208972500000003,0.06595705000000003,1000,win
bernoulli,shapes pooled,1000,cartel,verify_on_claim,verify on claim,0.03782600000000003,0.03600787500000003,0.03955727500000003,1000,win
bernoulli,shapes pooled,1000,cartel,midian,MIDIAN,0.06773300000000003,0.06576482500000004,0.06971602500000004,1000,win
bernoulli,shapes pooled,1000,cartel,sequential_halving_peer,seq. halving (peer),0.17304900000000004,0.16971995000000004,0.17619925000000003,1000,win
bernoulli,shapes pooled,10000,beta0,flat_probe_argmax_online,flat probe argmax (online),0.02786700000000001,0.026610000000000005,0.029144025000000014,1000,win
bernoulli,shapes pooled,10000,beta0,warm_start_bandit,warm-start bandit,-0.03900099999999994,-0.04008702499999995,-0.03785364999999995,1000,loss
bernoulli,shapes pooled,10000,beta0,linucb_honest,LinUCB,0.17765400000000006,0.17614982500000004,0.17910192500000005,1000,win
bernoulli,shapes pooled,10000,beta0,declared_argmax,declared argmax,-0.04105799999999994,-0.04220127499999994,-0.03993089999999994,1000,loss
bernoulli,shapes pooled,10000,beta0,verify_on_claim,verify on claim,-0.04157199999999995,-0.04266814999999994,-0.040422799999999946,1000,loss
bernoulli,shapes pooled,10000,beta0,midian,MIDIAN,0.027347000000000014,0.02610277500000001,0.028595050000000007,1000,win
bernoulli,shapes pooled,10000,beta0,sequential_halving_peer,seq. halving (peer),-0.049137999999999946,-0.05028402499999995,-0.04807294999999995,1000,loss
bernoulli,shapes pooled,10000,beta025_cartel,flat_probe_argmax_online,flat probe argmax (online),0.01310000000000001,0.011736950000000006,0.01449712500000001,1000,win
bernoulli,shapes pooled,10000,beta025_cartel,warm_start_bandit,warm-start bandit,-0.005355000000000005,-0.006626000000000007,-0.004113950000000003,1000,loss
bernoulli,shapes pooled,10000,beta025_cartel,linucb_honest,LinUCB,0.16288700000000003,0.16137097500000006,0.16442407500000003,1000,win
bernoulli,shapes pooled,10000,beta025_cartel,declared_argmax,declared argmax,0.08027000000000004,0.07855380000000002,0.08199402500000003,1000,win
bernoulli,shapes pooled,10000,beta025_cartel,verify_on_claim,verify on claim,0.046014000000000034,0.044225950000000035,0.04785530000000003,1000,win
bernoulli,shapes pooled,10000,beta025_cartel,midian,MIDIAN,0.01842900000000001,0.01702195000000001,0.019858225000000014,1000,win
bernoulli,shapes pooled,10000,beta025_cartel,sequential_halving_peer,seq. halving (peer),-0.06335899999999996,-0.06460802499999994,-0.062182899999999944,1000,loss
bernoulli,shapes pooled,10000,beta025_random,flat_probe_argmax_online,flat probe argmax (online),0.011949000000000006,0.010537950000000008,0.013403050000000008,1000,win
bernoulli,shapes pooled,10000,beta025_random,warm_start_bandit,warm-start bandit,-0.019038,-0.020351099999999997,-0.017688600000000002,1000,loss
bernoulli,shapes pooled,10000,beta025_random,linucb_honest,LinUCB,0.16173600000000005,0.16018300000000005,0.163257075,1000,win
bernoulli,shapes pooled,10000,beta025_random,declared_argmax,declared argmax,0.025625000000000023,0.023687375000000017,0.027763100000000023,1000,win
bernoulli,shapes pooled,10000,beta025_random,verify_on_claim,verify on claim,0.0006700000000000049,-0.0011201999999999952,0.0024900250000000046,1000,tie
bernoulli,shapes pooled,10000,beta025_random,midian,MIDIAN,0.01577200000000001,0.01445785000000001,0.017244450000000012,1000,win
bernoulli,shapes pooled,10000,beta025_random,sequential_halving_peer,seq. halving (peer),-0.06425099999999995,-0.06542607499999996,-0.06302572499999995,1000,loss
bernoulli,shapes pooled,10000,beta05_random,flat_probe_argmax_online,flat probe argmax (online),0.01873600000000001,0.017408925000000016,0.020171075000000007,1000,win
bernoulli,shapes pooled,10000,beta05_random,warm_start_bandit,warm-start bandit,-0.010526000000000002,-0.01187005,-0.009246800000000005,1000,loss
bernoulli,shapes pooled,10000,beta05_random,linucb_honest,LinUCB,0.16852300000000003,0.16697595000000004,0.16995712500000004,1000,win
bernoulli,shapes pooled,10000,beta05_random,declared_argmax,declared argmax,0.037705000000000016,0.03562000000000003,0.03973265000000003,1000,win
bernoulli,shapes pooled,10000,beta05_random,verify_on_claim,verify on claim,0.010621000000000007,0.008960800000000005,0.012361050000000007,1000,win
bernoulli,shapes pooled,10000,beta05_random,midian,MIDIAN,0.06151900000000004,0.05986180000000004,0.06315415000000005,1000,win
bernoulli,shapes pooled,10000,beta05_random,sequential_halving_peer,seq. halving (peer),-0.03935499999999996,-0.04081304999999996,-0.03796662499999996,1000,loss
bernoulli,shapes pooled,10000,cartel,flat_probe_argmax_online,flat probe argmax (online),0.02035800000000001,0.01887062500000001,0.021732050000000013,1000,win
bernoulli,shapes pooled,10000,cartel,warm_start_bandit,warm-start bandit,0.014564000000000004,0.013181975000000005,0.015787025000000007,1000,win
bernoulli,shapes pooled,10000,cartel,linucb_honest,LinUCB,0.17014500000000005,0.16857335000000004,0.17162807500000002,1000,win
bernoulli,shapes pooled,10000,cartel,declared_argmax,declared argmax,0.06933600000000004,0.06745095000000005,0.07125102500000005,1000,win
bernoulli,shapes pooled,10000,cartel,verify_on_claim,verify on claim,0.040198000000000025,0.038453625000000026,0.04191740000000003,1000,win
bernoulli,shapes pooled,10000,cartel,midian,MIDIAN,0.07571200000000004,0.07363870000000004,0.07769315000000004,1000,win
bernoulli,shapes pooled,10000,cartel,sequential_halving_peer,seq. halving (peer),0.12096900000000002,0.11876352500000001,0.12316207500000002,1000,win
bernoulli,shapes pooled,100000,beta0,flat_probe_argmax_online,flat probe argmax (online),0.029948000000000016,0.028216000000000012,0.03173015000000001,500,win
bernoulli,shapes pooled,100000,beta0,warm_start_bandit,warm-start bandit,-0.04037599999999994,-0.04178609999999994,-0.03881584999999994,500,loss
bernoulli,shapes pooled,100000,beta0,linucb_honest,LinUCB,0.36037199999999997,0.3583317,0.3624143,500,win
bernoulli,shapes pooled,100000,beta0,declared_argmax,declared argmax,-0.04048799999999994,-0.042024099999999946,-0.03899599999999995,500,loss
