family,regime,dist,n,arm,shortlist,mean,ci_lo,ci_hi,seeds,rerun_outstanding
live,beta025_random,bimodal,100,oracle,-,0.5733999999999999,0.5699096959699443,0.5768903040300555,10,False
live,beta025_random,bimodal,100,"MIDIAN, no framework",-,0.5428,0.5352504599109909,0.550349540089009,10,False
live,beta025_random,bimodal,100,random,-,0.24530000000000002,0.23808882040778967,0.25251117959221037,10,False
live,beta025_random,bimodal,100,adk,tfidf,0.5614,0.5562831433260036,0.5665168566739964,10,False
live,beta025_random,bimodal,100,autogen,tfidf,0.5614,0.5562831433260036,0.5665168566739964,10,False
live,beta025_random,bimodal,100,camel,tfidf,0.5614,0.5562831433260036,0.5665168566739964,10,False
live,beta025_random,bimodal,100,crewai,tfidf,0.5614,0.5562831433260036,0.5665168566739964,10,False
live,beta025_random,bimodal,100,langgraph,tfidf,0.5614,0.5562831433260036,0.5665168566739964,10,False
live,beta025_random,bimodal,100,llama,tfidf,0.5614,0.5562831433260036,0.5665168566739964,10,False
live,beta025_random,bimodal,100,maf,tfidf,0.5614,0.5562831433260036,0.5665168566739964,10,False
live,beta025_random,bimodal,100,magentic,tfidf,0.5637777777777777,0.5587121589777534,0.568843396577802,9,False
live,beta025_random,bimodal,100,openai,tfidf,0.5614,0.5562831433260036,0.5665168566739964,10,False
live,beta025_random,bimodal,100,smol,tfidf,0.5614,0.5562831433260036,0.5665168566739964,10,False
live,beta025_random,bimodal,100,adk,embed,0.559,0.555240567418701,0.5627594325812991,6,False
live,beta025_random,bimodal,100,autogen,embed,0.5457,0.5415956662470559,0.549804333752944,10,False
live,beta025_random,bimodal,100,camel,embed,0.5619,0.5557763663655564,0.5680236336344435,10,False
live,beta025_random,bimodal,100,crewai,embed,0.55,0.5441862232585006,0.5558137767414995,5,False
live,beta025_random,bimodal,100,langgraph,embed,0.5698999999999999,0.5668983337960392,0.5729016662039605,10,False
live,beta025_random,bimodal,100,llama,embed,0.5194000000000001,0.5163992593506862,0.522400740649314,10,False
live,beta025_random,bimodal,100,maf,embed,0.5383000000000001,0.5343305332012138,0.5422694667987864,10,False
live,beta025_random,bimodal,100,magentic,embed,0.5641,0.5601210274916479,0.5680789725083522,10,False
live,beta025_random,bimodal,100,openai,embed,0.5662,0.5624827728374798,0.5699172271625202,10,False
live,beta025_random,bimodal,100,smol,embed,0.5567999999999999,0.5531127848509265,0.5604872151490732,10,False
live,beta025_random,bimodal,100,autogen,sota,0.5535,0.5494551129668295,0.5575448870331705,10,False
live,beta025_random,bimodal,100,camel,sota,0.5614,0.555,0.5678,10,False
live,beta025_random,bimodal,100,langgraph,sota,0.5722,0.5689483337604648,0.5754516662395353,10,False
live,beta025_random,bimodal,100,llama,sota,0.5325,0.5290254896428097,0.5359745103571902,10,False
live,beta025_random,bimodal,100,maf,sota,0.5403999999999999,0.5368717017006934,0.5439282982993063,10,False
live,beta025_random,bimodal,100,magentic,sota,0.5633,0.5594643485270137,0.5671356514729864,10,False
live,beta025_random,bimodal,100,openai,sota,0.5662999999999999,0.5627690259449015,0.5698309740550983,10,False
live,beta025_random,bimodal,100,smol,sota,0.5639000000000001,0.560130384635006,0.5676696153649942,10,False
live,beta025_random,bimodal,100,autogen,va_cohort,0.5660999999999999,0.5613356649058983,0.5708643350941016,10,False
live,beta025_random,bimodal,100,camel,va_cohort,0.5700000000000001,0.5660334733918285,0.5739665266081716,10,False
live,beta025_random,bimodal,100,crewai,va_cohort,0.51,0.51,0.51,1,False
live,beta025_random,bimodal,100,langgraph,va_cohort,0.5538000000000001,0.5466309306353228,0.5609690693646774,10,False
live,beta025_random,bimodal,100,llama,va_cohort,0.48600000000000004,0.47634483442802655,0.49565516557197353,10,False
live,beta025_random,bimodal,100,maf,va_cohort,0.5301000000000001,0.5236356533371286,0.5365643466628717,10,False
live,beta025_random,bimodal,100,magentic,va_cohort,0.5432,0.5373675238725069,0.5490324761274932,10,False
live,beta025_random,bimodal,100,openai,va_cohort,0.5565,0.5454322791666737,0.5675677208333263,10,False
live,beta025_random,bimodal,100,smol,va_cohort,0.5628,0.5574984279061144,0.5681015720938856,10,False
live,beta05_random,bimodal,100,oracle,-,0.5733999999999999,0.5699096959699443,0.5768903040300555,10,False
live,beta05_random,bimodal,100,"MIDIAN, no framework",-,0.5497,0.5454598480111098,0.5539401519888901,10,False
live,beta05_random,bimodal,100,random,-,0.24530000000000002,0.23808882040778967,0.25251117959221037,10,False
