family,regime,group,n,label,mean,ci_lo,ci_hi,seeds
routereval,beta0,all_strong,100,knn_router,0.7802,0.765,0.793,5
routereval,beta0,all_strong,100,knn_router_online,0.8029999999999999,0.796,0.8092,5
routereval,beta0,all_strong,100,linucb_honest,0.819,0.806,0.8320000000000001,5
routereval,beta0,all_strong,100,midian,0.8310000000000001,0.8244,0.8364,5
routereval,beta0,all_strong,100,midian_wo_audit,0.8310000000000001,0.8244,0.8364,5
routereval,beta0,all_strong,100,midian_wo_defenses,0.8262,0.8158,0.8347999999999999,5
routereval,beta0,all_strong,100,midian_wo_verify,0.8262,0.8158,0.8347999999999999,5
routereval,beta0,all_strong,100,mlp_router,0.8208,0.7868,0.8548,5
routereval,beta0,all_strong,100,oracle,0.9014,0.8901899999999999,0.9126,5
routereval,beta0,all_strong,100,random,0.8084,0.801795,0.8150000000000001,5
routereval,beta0,all_strong,100,sequential_halving,0.7868,0.77439,0.8064,5
routereval,beta0,all_strong,100,sequential_halving_peer,0.7868,0.77439,0.8064,5
routereval,beta0,all_strong,100,warm_start_bandit,0.8428000000000001,0.8288,0.8581999999999999,5
routereval,beta0,all_strong,1000,declared_argmax,0.8532,0.8436,0.8628,5
routereval,beta0,all_strong,1000,flat_probe_argmax_frozen,0.6404000000000001,0.6231949999999999,0.6558,5
routereval,beta0,all_strong,1000,flat_probe_argmax_online,0.6484,0.6396000000000001,0.6572000000000001,5
routereval,beta0,all_strong,1000,fw_autogen,0.7266,0.7116,0.7409999999999999,5
routereval,beta0,all_strong,1000,fw_crewai,0.724,0.7038,0.7454000000000001,5
routereval,beta0,all_strong,1000,fw_google_adk,0.711,0.6748,0.7472,5
routereval,beta0,all_strong,1000,fw_langgraph,0.7217999999999999,0.708,0.7377999999999999,5
routereval,beta0,all_strong,1000,fw_llamaindex,0.7097999999999999,0.6978,0.7312,5
routereval,beta0,all_strong,1000,fw_maf,0.7285999999999999,0.7086,0.752,5
