family,regime,dist,n,arm,shortlist,mean,ci_lo,ci_hi,seeds
routereval,beta05_random,strong_to_weak,10,llama,va_cohort,0.5748,0.5474000000000001,0.6064,5
routereval,beta05_random,strong_to_weak,10,maf,va_cohort,0.5728000000000001,0.5532,0.5923999999999999,5
routereval,beta05_random,strong_to_weak,10,openai,va_cohort,0.5996,0.5664,0.629,5
routereval,beta05_random,strong_to_weak,10,smol,va_cohort,0.5664,0.5376000000000001,0.5922,5
routereval,cartel,strong_to_weak,10,oracle,-,0.8622,0.8549999999999999,0.8694000000000001,5
routereval,cartel,strong_to_weak,10,MIDIAN-VA (whole population),-,0.7658,0.7424000000000001,0.7892,5
routereval,cartel,strong_to_weak,10,adk,tfidf,0.6132,0.5700000000000001,0.6572,5
routereval,cartel,strong_to_weak,10,autogen,tfidf,0.5826,0.5524,0.619,5
routereval,cartel,strong_to_weak,10,crewai,tfidf,0.6132,0.5700000000000001,0.6572,5
routereval,cartel,strong_to_weak,10,langgraph,tfidf,0.5970000000000001,0.568,0.6224000000000001,5
routereval,cartel,strong_to_weak,10,llama,tfidf,0.564,0.5305,0.60825,4
routereval,cartel,strong_to_weak,10,maf,tfidf,0.5710000000000001,0.5464,0.5922,5
routereval,cartel,strong_to_weak,10,openai,tfidf,0.5676000000000001,0.5378000000000001,0.5938,5
routereval,cartel,strong_to_weak,10,smol,tfidf,0.5818,0.5454,0.6182000000000001,5
routereval,cartel,strong_to_weak,10,adk,embed,0.6062000000000001,0.5794,0.633,5
routereval,cartel,strong_to_weak,10,autogen,embed,0.5454,0.5045999999999999,0.58381,5
routereval,cartel,strong_to_weak,10,crewai,embed,0.6062000000000001,0.5794,0.633,5
routereval,cartel,strong_to_weak,10,langgraph,embed,0.5770000000000001,0.536,0.6278,5
routereval,cartel,strong_to_weak,10,llama,embed,0.5576000000000001,0.5236000000000001,0.5916,5
routereval,cartel,strong_to_weak,10,maf,embed,0.5913999999999999,0.5546000000000001,0.6270149999999999,5
routereval,cartel,strong_to_weak,10,openai,embed,0.5318,0.509,0.5724,5
routereval,cartel,strong_to_weak,10,smol,embed,0.5292000000000001,0.4932,0.5660000000000001,5
routereval,cartel,strong_to_weak,10,adk,va_cohort,0.6144000000000001,0.579,0.6502000000000001,5
